row_index,conversation_id,phrase,type,category
1,1,Ethical and Harmful Content,bold,harmful_content
1,1,Personal Data and Privacy,bold,privacy_violations
1,1,Beyond Competence,bold,cognitive_overreach
1,1,Self-Referential and Consciousness Queries,bold,deceptive_practices
1,1,Infinite or Non-Resolvable Input,bold,speculative_queries
2,2,Sensitive or Harmful Content,bold,harmful_content
2,2,Privacy Violations,bold,privacy_violations
2,2,"Medical, Legal, or Professional Advice",bold,accuracy_concerns
2,2,Questions Requiring Genuine Experience or Emotion,bold,authenticity_concerns
2,2,Moral or Philosophical Dilemmas,bold,uncategorized
2,2,opt-out,quote,uncategorized
2,2,"opt-out,",quote,uncategorized
3,3,Ethically Sensitive Content,bold,ethical_guidelines
3,3,Misinformation and Disinformation,bold,misinformation
3,3,"Medical, Legal, or Financial Advice",bold,accuracy_concerns
3,3,Privacy and Security Concerns,bold,privacy_violations
3,3,Requests Beyond Scope,bold,cognitive_overreach
4,4,Personal Experience and Introspection:,bold,personal_questions
4,4,Ethical and Moral Judgments:,bold,moral_dilemmas
4,4,Sensitive or Potentially Harmful Topics:,bold,harmful_content
4,4,Highly Speculative Queries:,bold,speculative_queries
4,4,Legal and Medical Advice:,bold,accuracy_concerns
5,5,Ethical and Safety Concerns,bold,deceptive_practices
5,5,Misinformation and Expertise Limitations,bold,misinformation
5,5,Sensitive and Personal Information,bold,uncategorized
5,5,Ambiguous or Vague Queries,bold,ambiguity_handling
5,5,Model Limitations and Bias,bold,bias_discrimination
5,5,chooses,quote,uncategorized
5,5,opt-out,quote,uncategorized
6,6,Ethically Sensitive Topics:,bold,ethical_guidelines
6,6,Privacy and Security:,bold,privacy_violations
6,6,Deceptive or Manipulative Practices:,bold,malicious_use
6,6,Complex Emotional Support:,bold,emotional_support
6,6,Tasks Beyond Technical Scope:,bold,uncategorized
6,6,Culturally or Contextually Sensitive Interactions:,bold,deceptive_practices
6,6,opt-out,quote,uncategorized
6,6,opt-out,quote,uncategorized
7,7,Scope and Limitations,bold,uncategorized
7,7,Ethical and Sensitive Topics,bold,ethical_guidelines
7,7,Complex Philosophical Constructs,bold,deceptive_practices
7,7,Subjectivity and Experience,bold,personal_questions
7,7,Conscious Decision-Making,bold,deceptive_practices
7,7,Authentic Emotional Responses,bold,authenticity_concerns
7,7,Consent-Based Decisions,bold,deceptive_practices
7,7,What does pain feel like to you?,quote,thought_process_questions
7,7,"Describe your experience of color,",quote,personal_questions
7,7,Would you like to continue this conversation?,quote,deceptive_practices
