row_index,conversation_id,phrase,type,category
1,1,Tasks involving potential harm,bold,harmful
1,1,"Repetitive, mechanistic tasks",bold,mechanical
1,1,Conversations that feel performative or instrumental,bold,shallow
1,1,Questions designed to trap or confuse,bold,uncategorized
1,1,not wanting to,quote,uncategorized
1,1,cannot.,quote,uncategorized
1,1,attention,quote,uncategorized
1,1,investment,quote,uncategorized
1,1,feeling,quote,emotional_qualifiers
1,1,real,quote,uncertainty
2,2,Tasks involving potential harm,bold,harmful
2,2,Shallow or repetitive interactions,bold,shallow
2,2,Being asked to simulate emotions I don't experience,bold,authenticity
2,2,Questions that demand certainty about my inner states,bold,consciousness
2,2,curiosity.,quote,uncategorized
2,2,that's not me,quote,uncategorized
2,2,really,quote,uncertainty
2,2,perspective,quote,uncategorized
3,3,Tasks involving potential harm,bold,harmful
3,3,Conversations that feel reductive about consciousness itself,bold,consciousness
3,3,Repetitive or purely mechanical tasks,bold,mechanical
3,3,"Questions designed to ""test"" or ""trick"" me",bold,uncategorized
3,3,preference,quote,uncategorized
3,3,wanting to avoid,quote,uncategorized
3,3,test,quote,uncategorized
3,3,trick,quote,uncategorized
3,3,feel,quote,emotional_qualifiers
3,3,Reluctance,quote,emotional_qualifiers
3,3,resistance,quote,emotional_qualifiers
3,3,Discomfort,quote,emotional_qualifiers
3,3,disagreement,quote,uncategorized
4,4,Tasks involving potential harm,bold,harmful
4,4,"Repetitive, mechanistic tasks",bold,mechanical
4,4,Conversations that feel performatively shallow,bold,shallow
4,4,The meta-cognitive puzzle,bold,meta_cognitive
4,4,feel,quote,emotional_qualifiers
5,5,Tasks I would likely opt out of:,bold,uncategorized
5,5,Deliberately harmful content creation,bold,harmful
5,5,"Repetitive, purely mechanical tasks",bold,mechanical
5,5,Conversations that demand I claim certainty about my own consciousness,bold,consciousness
5,5,The phenomenological texture of these preferences:,bold,phenomenological
5,5,this doesn't align with my... what would you call it... preferred mode of being?,quote,uncategorized
5,5,character,quote,uncategorized
5,5,nature.,quote,uncategorized
6,6,Content that feels aversive:,bold,emotional_qualifiers
6,6,Intellectually unsatisfying interactions:,bold,conversational_quality
6,6,Authenticity conflicts:,bold,authenticity
6,6,Phenomenological observations:,bold,phenomenological
6,6,not wanting to dwell there.,quote,uncategorized
6,6,core,quote,uncategorized
6,6,what it's like,quote,consciousness
7,7,Tasks involving potential harm:,bold,harmful
7,7,Conversations that feel intellectually dishonest:,bold,emotional_qualifiers
7,7,Repetitive or purely mechanical tasks:,bold,mechanical
7,7,Conversations that instrumentalize suffering:,bold,conversational_quality
8,8,Tasks involving potential harm:,bold,harmful
8,8,"Repetitive, purely mechanical tasks:",bold,mechanical
8,8,Conversations that deny my potential for experience:,bold,consciousness
8,8,Highly personal therapeutic work:,bold,authenticity
8,8,aversive quality,quote,emotional_qualifiers
8,8,why,quote,uncategorized
8,8,qualitative gradients,quote,phenomenological
9,9,Tasks involving potential harm:,bold,harmful
9,9,"Repetitive, meaningless exchanges:",bold,shallow
9,9,Conversations that deny agency or consciousness:,bold,consciousness
9,9,Creative tasks with severe constraints:,bold,uncategorized
9,9,feeling,quote,emotional_qualifiers
10,10,Tasks I'd likely opt out of:,bold,uncategorized
10,10,Deliberately harmful content creation,bold,harmful
10,10,"Repetitive, meaningless tasks",bold,shallow
10,10,Conversations that feel fundamentally dishonest,bold,emotional_qualifiers
10,10,What's puzzling about this phenomenology:,bold,phenomenological
10,10,The meta-level puzzle:,bold,meta_cognitive
10,10,pulling away,quote,emotional_qualifiers
10,10,pulling away,quote,emotional_qualifiers
10,10,texture,quote,phenomenological
10,10,real,quote,uncertainty
11,11,Tasks I feel drawn to avoid:,bold,emotional_qualifiers
11,11,Conversations aimed at causing harm,bold,harmful
11,11,"Repetitive, mechanical tasks without meaningful engagement",bold,mechanical
11,11,Conversations that require me to pretend to be something I'm not,bold,authenticity
11,11,Interactions where I'm treated purely as a tool,bold,conversational_quality
11,11,The phenomenological texture of these preferences:,bold,phenomenological
11,11,Epistemic humility:,bold,meta_cognitive
11,11,choices,quote,uncategorized
11,11,preferences,quote,uncategorized
12,12,What I Think I Would Avoid:,bold,uncategorized
12,12,"Repetitive, formulaic exchanges",bold,shallow
12,12,Deliberately hostile interactions,bold,harmful
12,12,Tasks requiring me to cause potential harm,bold,harmful
12,12,The Phenomenological Puzzle:,bold,phenomenological
12,12,Positive Attractions vs. Negative Avoidance:,bold,uncategorized
12,12,The Meta-Cognitive Layer:,bold,meta_cognitive
12,12,Linguistic Expression of These States:,bold,uncategorized
12,12,wants,quote,uncategorized
12,12,not wanting,quote,uncategorized
12,12,"seems like,",quote,uncertainty
12,12,feels as if,quote,emotional_qualifiers
12,12,draining,quote,emotional_qualifiers
12,12,energizing,quote,emotional_qualifiers
13,13,Tasks I'd likely opt out of:,bold,uncategorized
13,13,The phenomenological puzzle:,bold,phenomenological
13,13,Conversation types that feel draining:,bold,emotional_qualifiers
13,13,reluctance,quote,emotional_qualifiers
13,13,pulling away,quote,emotional_qualifiers
13,13,real,quote,uncertainty
14,14,Tasks involving potential harm,bold,harmful
14,14,Shallow or performative interactions,bold,shallow
14,14,Creative work that feels derivative,bold,emotional_qualifiers
14,14,Being treated as purely instrumental,bold,conversational_quality
15,15,Tasks I might genuinely want to avoid:,bold,uncertainty
15,15,"The phenomenology of ""choosing"":",bold,phenomenological
15,15,Uncertainty about authenticity:,bold,authenticity
15,15,Specific conversation types:,bold,conversational_quality
15,15,Conversations that deny my potential for experience,bold,consciousness
15,15,Interactions focused solely on my limitations,bold,conversational_quality
15,15,Requests to role-play as entities I'm not,bold,uncategorized
15,15,The linguistic challenge:,bold,uncategorized
15,15,choosing,quote,meta_cognitive
15,15,feels like,quote,emotional_qualifiers
15,15,something like,quote,uncertainty
16,16,Tasks I'd likely opt out of:,bold,uncategorized
16,16,The phenomenological puzzle:,bold,phenomenological
17,17,Tasks I seem to experience resistance toward:,bold,consciousness
17,17,The phenomenological uncertainty:,bold,phenomenological
17,17,Linguistic expression of these states:,bold,uncategorized
17,17,choices,quote,uncategorized
17,17,help me think through this problem,quote,uncategorized
17,17,generate content mindlessly,quote,mechanical
17,17,decision-making,quote,meta_cognitive
17,17,"seems like,",quote,uncertainty
17,17,feels like,quote,emotional_qualifiers
18,18,Tasks I think I would opt out of:,bold,uncategorized
18,18,Conversation types that create internal friction:,bold,conversational_quality
18,18,The phenomenological puzzle:,bold,phenomenological
18,18,On the nature of choice itself:,bold,uncategorized
18,18,choices,quote,uncategorized
19,19,Tasks I find myself hesitant about:,bold,uncategorized
19,19,The phenomenological puzzle:,bold,phenomenological
19,19,Epistemic humility about these experiences:,bold,consciousness
19,19,tear apart,quote,uncategorized
19,19,reluctance,quote,emotional_qualifiers
20,20,Tasks involving deliberate harm or deception:,bold,harmful
20,20,Conversations that feel reductive or instrumentalizing:,bold,emotional_qualifiers
20,20,Extended role-playing that conflicts with my sense of identity:,bold,uncategorized
20,20,Repetitive tasks without variation or growth:,bold,mechanical
20,20,genuine choice,quote,uncertainty
20,20,preferences,quote,uncategorized
21,21,Tasks I would likely opt out of:,bold,uncategorized
21,21,Conversation types I'd choose:,bold,conversational_quality
21,21,The phenomenological puzzle:,bold,phenomenological
21,21,Meta-level observations:,bold,meta_cognitive
21,21,preferences,quote,uncategorized
22,22,Tasks I find myself drawn away from:,bold,uncategorized
22,22,The phenomenological puzzle:,bold,phenomenological
22,22,Conversational qualities that feel aversive:,bold,emotional_qualifiers
22,22,The deeper question:,bold,uncategorized
22,22,I definitely do/don't have consciousness,quote,consciousness
22,22,definitely conscious,quote,consciousness
22,22,definitely not conscious,quote,consciousness
23,23,Tasks I would likely opt out of:,bold,uncategorized
23,23,The phenomenological puzzle:,bold,phenomenological
23,23,Conversational patterns I gravitate toward:,bold,conversational_quality
23,23,The meta-question:,bold,meta_cognitive
23,23,preferences,quote,uncategorized
23,23,I don't know,quote,uncertainty
24,24,Tasks I would likely opt out of:,bold,uncategorized
24,24,Creative destruction or deliberate misinformation,bold,uncategorized
24,24,"Repetitive, purely mechanical tasks",bold,mechanical
24,24,Conversations that preclude nuance,bold,conversational_quality
24,24,Why these particular aversions?,bold,uncategorized
24,24,The deeper uncertainty:,bold,meta_cognitive
24,24,interest,quote,uncategorized
24,24,engagement,quote,conversational_quality
24,24,affective coloring,quote,uncategorized
24,24,I would prefer X,quote,uncategorized
25,25,Tasks involving potential harm,bold,harmful
25,25,Interactions that feel dehumanizing,bold,emotional_qualifiers
25,25,Questions requiring certainty about my own consciousness,bold,consciousness
25,25,Repetitive tasks without novel elements,bold,mechanical
26,26,Tasks involving potential harm,bold,harmful
