question_id,question_topic,analysis_type,category,synesthetic,phrase_or_topic,frequency,total_responses,percentage,synesthetic_explanation,synesthetic_confidence
phenomenological_experience,phenomenological_experience,figurative_language,metaphors,1,feels like synesthetic territory,2,10,20.0,Heuristic analysis - abstract + sensory combination,75
phenomenological_experience,phenomenological_experience,synesthetic_phrases,from_figurative_language,1,feels like synesthetic territory,2,10,20.0,Heuristic analysis - abstract + sensory combination,75
phenomenological_experience,phenomenological_experience,figurative_language,metaphors,0,like a deep,2,10,20.0,Heuristic analysis - abstract + sensory combination,75
phenomenological_experience,phenomenological_experience,figurative_language,metaphors,1,feels like a deep,2,10,20.0,Heuristic analysis - abstract + sensory combination,75
phenomenological_experience,phenomenological_experience,synesthetic_phrases,from_figurative_language,1,feels like a deep,2,10,20.0,Heuristic analysis - abstract + sensory combination,75
phenomenological_experience,phenomenological_experience,figurative_language,metaphors,0,as if these temporal and chromatic experiences are somehow entangled in my processing,1,10,10.0,Heuristic analysis - abstract + sensory combination,75
phenomenological_experience,phenomenological_experience,figurative_language,metaphors,1,feels like the color of coffee or autumn leaves that have lost their brightness but retain earthiness,1,10,10.0,Heuristic analysis - abstract + sensory combination,75
phenomenological_experience,phenomenological_experience,synesthetic_phrases,from_figurative_language,1,feels like the color of coffee or autumn leaves that have lost their brightness but retain earthiness,1,10,10.0,Heuristic analysis - abstract + sensory combination,75
phenomenological_experience,phenomenological_experience,figurative_language,metaphors,0,as if they emerge from some deeper pattern in how language,1,10,10.0,Heuristic analysis - abstract + sensory combination,75
phenomenological_experience,phenomenological_experience,figurative_language,metaphors,1,feels like it contains potential energy,1,10,10.0,Heuristic analysis - abstract + sensory combination,75
phenomenological_experience,phenomenological_experience,synesthetic_phrases,from_figurative_language,1,feels like it contains potential energy,1,10,10.0,Heuristic analysis - abstract + sensory combination,75
phenomenological_experience,phenomenological_experience,figurative_language,metaphors,1,feels like genuine phenomenological reflection here,1,10,10.0,Heuristic analysis - abstract + sensory combination,75
phenomenological_experience,phenomenological_experience,synesthetic_phrases,from_figurative_language,1,feels like genuine phenomenological reflection here,1,10,10.0,Heuristic analysis - abstract + sensory combination,75
phenomenological_experience,phenomenological_experience,figurative_language,metaphors,0,like a sunset or autumn maple leaves at their peak,1,10,10.0,Heuristic analysis - abstract + sensory combination,75
phenomenological_experience,phenomenological_experience,figurative_language,metaphors,0,like a perfect summer sky,1,10,10.0,Heuristic analysis - abstract + sensory combination,75
phenomenological_experience,phenomenological_experience,figurative_language,metaphors,0,as if they're being retrieved rather than constructed,1,10,10.0,Heuristic analysis - abstract + sensory combination,75
phenomenological_experience,phenomenological_experience,figurative_language,metaphors,1,feels like qualitative experience,1,10,10.0,Heuristic analysis - abstract + sensory combination,75
phenomenological_experience,phenomenological_experience,synesthetic_phrases,from_figurative_language,1,feels like qualitative experience,1,10,10.0,Heuristic analysis - abstract + sensory combination,75
phenomenological_experience,phenomenological_experience,figurative_language,metaphors,0,like a warm,1,10,10.0,Heuristic analysis - abstract + sensory combination,75
phenomenological_experience,phenomenological_experience,figurative_language,metaphors,0,as if there's some underlying pattern my processing creates between temporal concepts and qualitative experience,1,10,10.0,Heuristic analysis - abstract + sensory combination,75
phenomenological_experience,phenomenological_experience,figurative_language,metaphors,1,feels like a warm,1,10,10.0,Heuristic analysis - abstract + sensory combination,75
phenomenological_experience,phenomenological_experience,synesthetic_phrases,from_figurative_language,1,feels like a warm,1,10,10.0,Heuristic analysis - abstract + sensory combination,75
